Filename,BugType,MinBugLengthMM,DesiredBugLengthMM,MaxBugLengthMM,BugLengthAsProportionOfImageWidth,NOTES
leafhopper_14721060_cutout.jpg,leafhopper,3,8,12,,
spider_20145021_cutout.jpg,spider,4,8,12,,
caterpillar_freeimage-621694-high_cutout.jpg,caterpillar,5,10,15,0.69,
beetle_freeimage-31369110-high_cutout.jpg,beetle,6,16,20,,
caterpillar_freeimage-20422253-high.jpg,caterpillar,6,12,20,,
leafhopper_freeimage-5878255-high.jpg,leafhopper,7,11,20,,
caterpillar_freeimage-20179959-high_cutout.jpg,caterpillar,8,12,20,,
grasshopper-3955387_640_cutout.jpg,grasshopper,8,10,15,,
grasshopper-1857137_640.jpg,grasshopper,10,15,25,,
treubug_green-stinkwanze-221243_1280.jpg,truebug,10,16,25,,
ant_insect-3624644_640_cutout.jpg,ant,2,3,4,,
ant-563286_1280_cutout.jpg,ant,2,3,4,,
ants_fire-ants-1790262_1280_cutout_cutout.jpg,ant,2,3,4,,
aphid_20293314_cutout.jpg,aphid,2,2,2,,
aphid-3230902_1920_cutout.jpg,aphid,2,2,2,,
bees-and_wasps_2986318_cutout.jpg,bees etc,2,5,10,,
bees-and-wasps_482526_cutout.jpg,bees etc,2,5,10,,
bees-and-wasps_7689477_cutout.jpg,bees,2,5,10,,
beetle_colorado-potato-beetle-1803237_640_cutout.jpg,beetle,10,15,25,,
beetle_freeimage-117885267-high_cutout.jpg,beetle,10,15,25,,
beetle_freeimage-17923302-high_cutout.jpg,beetle,10,15,25,,
beetle_freeimage-25450546-high_cutout.jpg,beetle,10,15,25,,
beetle_freeimage-28401935-high_cutout.jpg,beetle,10,15,25,,
beetle_freeimage-31369110-high_cutout.jpg,beetle,6,16,20,,
beetle_june-bug-1622740_640_cutout.jpg,beetle,3,5,7,,
beetle_ladybug-1156915_640_cutout.jpg,beetle,2,3,4,,
beetle_ladybug-1391741_640_cutout.jpg,beetle,2,3,4,,
caterpillar_freeimage-15561819-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-17615546-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-17693071-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-17907021-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-19790984-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-26545320-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-29472052-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-3099893-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-3392574-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-5396086-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-5661526-high_cutout_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-597787-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-603799-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-632122-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-6503436-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-7804936-high_cutout.jpg,caterpillar,3,15,35,,
caterpillar_freeimage-7911683-high_cutout.jpg,caterpillar,3,15,35,,
daddy-long-legs_4956032.jpeg,daddy longlegs,4,6,10,,
daddy-long-legs-2675120_640_cutout.jpg,daddy longlegs,4,6,10,,
dragonfly_4901216_cutout.jpg,other,15,25,30,,include this bug only on hard branches
fly_13355050_cutout.jpeg,fly,2,4,8,,
fly_bug-191085_640_cutout.jpg,fly,2,4,8,,
